ticket_id,airline_name_id,airline_name,flight_number_id,flight_number,class_id,class,price_id,price
87,3,Vistara,32,UK-813,1,Economy,46,17348
88,3,Vistara,77,UK-705,1,Economy,47,17400
89,3,Vistara,78,UK-707,1,Economy,48,17505
90,3,Vistara,61,UK-737,1,Economy,49,17610
91,6,Air_India,65,AI-762,1,Economy,50,17295
92,3,Vistara,79,UK-673,1,Economy,51,17663
93,6,Air_India,80,AI-839,1,Economy,52,18030
94,3,Vistara,81,UK-879,1,Economy,53,18398
95,3,Vistara,77,UK-705,1,Economy,54,18450
96,4,GO_FIRST,82,G8-191,1,Economy,55,18487
97,3,Vistara,34,UK-819,1,Economy,56,18923
98,3,Vistara,35,UK-801,1,Economy,56,18923
99,3,Vistara,36,UK-815,1,Economy,56,18923
100,3,Vistara,60,UK-809,1,Economy,57,19238
101,3,Vistara,75,UK-835,1,Economy,58,19920
102,6,Air_India,83,AI-767,1,Economy,59,19710
103,6,Air_India,84,AI-401,1,Economy,59,19710
104,3,Vistara,77,UK-705,1,Economy,60,20130
105,6,Air_India,85,AI-473,1,Economy,61,19815
106,3,Vistara,78,UK-707,1,Economy,62,21075
107,4,GO_FIRST,86,G8-213,1,Economy,63,21111
108,6,Air_India,87,AI-409,1,Economy,64,23206
109,6,Air_India,50,AI-429,1,Economy,65,24540
110,6,Air_India,84,AI-401,1,Economy,66,25800
111,3,Vistara,88,UK-837,1,Economy,67,27270
112,6,Air_India,89,AI-877,1,Economy,68,29580
113,1,SpiceJet,90,SG-8803,1,Economy,1,5953
114,1,SpiceJet,28,SG-8169,1,Economy,1,5953
115,3,Vistara,7,UK-927,1,Economy,3,5955
116,3,Vistara,91,UK-985,1,Economy,3,5955
117,3,Vistara,69,UK-977,1,Economy,3,5955
118,3,Vistara,45,UK-955,1,Economy,3,5955
119,3,Vistara,92,UK-953,1,Economy,4,6060
120,4,GO_FIRST,93,G8-346,1,Economy,5,5954
121,4,GO_FIRST,94,G8-330,1,Economy,5,5954
122,4,GO_FIRST,95,G8-323,1,Economy,5,5954
123,5,Indigo,26,6E-2046,1,Economy,3,5955
124,5,Indigo,29,6E-5041,1,Economy,3,5955
125,5,Indigo,96,6E-218,1,Economy,3,5955
126,5,Indigo,97,6E-6722,1,Economy,3,5955
127,1,SpiceJet,2,SG-8157,1,Economy,3,5955
128,5,Indigo,24,6E-5328,1,Economy,3,5955
129,6,Air_India,98,AI-868,1,Economy,3,5955
130,6,Air_India,99,AI-805,1,Economy,3,5955
131,6,Air_India,100,AI-624,1,Economy,3,5955
132,4,GO_FIRST,101,G8-188,1,Economy,5,5954
133,6,Air_India,102,AI-636,1,Economy,3,5955
134,3,Vistara,4,UK-995,1,Economy,69,6375
135,3,Vistara,8,UK-951,1,Economy,70,7530
136,3,Vistara,25,UK-933,1,Economy,70,7530
137,3,Vistara,6,UK-945,1,Economy,70,7530
138,2,AirAsia,47,I5-784,1,Economy,71,7419
139,5,Indigo,14,6E-6202,1,Economy,72,7845
140,5,Indigo,103,6E-2022,1,Economy,73,8396
141,1,SpiceJet,38,SG-2976,1,Economy,10,8869
142,1,SpiceJet,38,SG-2976,1,Economy,74,9183
143,6,Air_India,104,AI-469,1,Economy,75,9840
144,6,Air_India,105,AI-542,1,Economy,75,9840
145,6,Air_India,106,AI-560,1,Economy,75,9840
146,3,Vistara,107,UK-683,1,Economy,76,10566
147,6,Air_India,108,AI-403,1,Economy,77,10303
148,5,Indigo,109,6E-2154,1,Economy,78,10523
149,6,Air_India,110,AI-9843,1,Economy,78,10523
150,3,Vistara,64,UK-871,1,Economy,79,11048
151,5,Indigo,54,6E-2168,1,Economy,14,10838
152,5,Indigo,53,6E-2193,1,Economy,14,10838
153,5,Indigo,56,6E-369,1,Economy,14,10838
154,6,Air_India,111,AI-544,1,Economy,80,11100
155,5,Indigo,62,6E-2338,1,Economy,81,11326
156,5,Indigo,112,6E-282,1,Economy,82,11678
157,3,Vistara,60,UK-809,1,Economy,15,12150
158,5,Indigo,53,6E-2193,1,Economy,83,11814
159,5,Indigo,55,6E-152,1,Economy,83,11814
160,3,Vistara,113,UK-859,1,Economy,84,12308
161,3,Vistara,74,UK-637,1,Economy,85,12570
162,3,Vistara,35,UK-801,1,Economy,85,12570
163,3,Vistara,114,UK-829,1,Economy,86,12623
164,3,Vistara,57,UK-899,1,Economy,86,12623
165,6,Air_India,115,AI-9857,1,Economy,87,12298
166,5,Indigo,116,6E-607,1,Economy,88,12302
167,6,Air_India,39,AI-504,1,Economy,89,12465
168,3,Vistara,34,UK-819,1,Economy,24,12990
169,6,Air_India,117,AI-885,1,Economy,90,12675
170,1,SpiceJet,118,SG-2277,1,Economy,91,12850
171,6,Air_India,117,AI-885,1,Economy,24,12990
172,6,Air_India,65,AI-762,1,Economy,24,12990
173,6,Air_India,58,AI-764,1,Economy,24,12990
174,4,GO_FIRST,119,G8-719,1,Economy,92,13069
175,4,GO_FIRST,101,G8-188,1,Economy,93,13321
176,3,Vistara,81,UK-879,1,Economy,27,13673
177,3,Vistara,61,UK-737,1,Economy,94,13830
178,3,Vistara,36,UK-815,1,Economy,31,14093
179,6,Air_India,68,AI-537,1,Economy,94,13830
180,4,GO_FIRST,20,G8-266,1,Economy,95,14129
181,3,Vistara,35,UK-801,1,Economy,96,14513
182,6,Air_India,117,AI-885,1,Economy,35,14250
183,4,GO_FIRST,120,G8-119,1,Economy,97,14409
184,4,GO_FIRST,121,G8-717,1,Economy,98,14487
185,3,Vistara,34,UK-819,1,Economy,99,14933
186,3,Vistara,122,UK-706,1,Economy,100,15038
187,3,Vistara,60,UK-809,1,Economy,101,15353
188,3,Vistara,32,UK-813,1,Economy,101,15353
189,3,Vistara,33,UK-817,1,Economy,101,15353
190,4,GO_FIRST,66,G8-1404,1,Economy,102,15117
191,6,Air_India,51,AI-439,1,Economy,39,15195
192,5,Indigo,72,6E-2102,1,Economy,103,15232
193,6,Air_India,123,AI-465,1,Economy,104,15510
194,5,Indigo,124,6E-5018,1,Economy,40,15720
195,6,Air_India,84,AI-401,1,Economy,105,16035
196,3,Vistara,125,UK-839,1,Economy,106,16560
197,3,Vistara,126,UK-833,1,Economy,106,16560
198,4,GO_FIRST,30,G8-165,1,Economy,107,16823
199,3,Vistara,60,UK-809,1,Economy,46,17348
200,4,GO_FIRST,63,G8-237,1,Economy,108,17136
201,6,Air_India,65,AI-762,1,Economy,109,18135
202,6,Air_India,58,AI-764,1,Economy,109,18135
203,3,Vistara,79,UK-673,1,Economy,110,19343
204,3,Vistara,46,UK-627,1,Economy,111,19553
205,3,Vistara,77,UK-705,1,Economy,61,19815
206,6,Air_India,127,AI-406,1,Economy,112,20445
207,6,Air_India,128,AI-9809,1,Economy,113,21180
208,6,Air_India,67,AI-512,1,Economy,114,22335
209,4,GO_FIRST,129,G8-286,1,Economy,115,23281
210,3,Vistara,130,UK-847,1,Economy,116,24488
211,6,Air_India,131,AI-411,1,Economy,117,24855
212,3,Vistara,61,UK-737,1,Economy,118,25905
213,3,Vistara,77,UK-705,1,Economy,119,29160
214,4,GO_FIRST,132,G8-113,1,Economy,5,5954
215,3,Vistara,91,UK-985,1,Economy,69,6375
216,1,SpiceJet,1,SG-8709,1,Economy,4,6060
217,1,SpiceJet,133,SG-8483,1,Economy,120,6270
218,3,Vistara,69,UK-977,1,Economy,8,6690
219,4,GO_FIRST,10,G8-336,1,Economy,121,6532
220,4,GO_FIRST,94,G8-330,1,Economy,121,6532
221,3,Vistara,6,UK-945,1,Economy,122,7005
222,6,Air_India,98,AI-868,1,Economy,123,6795
223,4,GO_FIRST,11,G8-392,1,Economy,124,7110
224,5,Indigo,103,6E-2022,1,Economy,125,7420
225,5,Indigo,109,6E-2154,1,Economy,126,7583
226,5,Indigo,29,6E-5041,1,Economy,127,8055
227,5,Indigo,26,6E-2046,1,Economy,128,8370
228,5,Indigo,15,6E-549,1,Economy,128,8370
229,3,Vistara,25,UK-933,1,Economy,129,9525
230,3,Vistara,107,UK-683,1,Economy,130,9988
231,2,AirAsia,19,I5-747,1,Economy,75,9840
232,6,Air_India,134,AI-475,1,Economy,130,9988
233,5,Indigo,31,6E-2373,1,Economy,78,10523
234,3,Vistara,114,UK-829,1,Economy,79,11048
235,1,SpiceJet,38,SG-2976,1,Economy,131,10759
236,6,Air_India,76,AI-531,1,Economy,132,10785
237,4,GO_FIRST,119,G8-719,1,Economy,133,10863
238,5,Indigo,56,6E-369,1,Economy,134,10943
239,3,Vistara,64,UK-871,1,Economy,135,11415
240,3,Vistara,81,UK-879,1,Economy,135,11415
241,5,Indigo,54,6E-2168,1,Economy,81,11326
242,5,Indigo,53,6E-2193,1,Economy,81,11326
243,6,Air_India,48,AI-9643,1,Economy,136,11468
244,3,Vistara,113,UK-859,1,Economy,137,12098
245,1,SpiceJet,38,SG-2976,1,Economy,138,11809
246,6,Air_India,43,AI-479,1,Economy,16,11900
247,5,Indigo,135,6E-181,1,Economy,139,11993
248,1,SpiceJet,118,SG-2277,1,Economy,140,12010
249,4,GO_FIRST,129,G8-286,1,Economy,141,12045
250,4,GO_FIRST,120,G8-119,1,Economy,141,12045
251,4,GO_FIRST,121,G8-717,1,Economy,142,12229
252,3,Vistara,81,UK-879,1,Economy,86,12623
253,6,Air_India,52,AI-9645,1,Economy,87,12298
254,3,Vistara,8,UK-951,1,Economy,20,12780
255,6,Air_India,42,AI-803,1,Economy,89,12465
256,5,Indigo,136,6E-2092,1,Economy,85,12570
257,5,Indigo,124,6E-5018,1,Economy,85,12570
258,2,AirAsia,47,I5-784,1,Economy,24,12990
259,3,Vistara,57,UK-899,1,Economy,28,13410
260,4,GO_FIRST,66,G8-1404,1,Economy,92,13069
261,6,Air_India,137,AI-9911,1,Economy,25,13086
262,3,Vistara,35,UK-801,1,Economy,143,13515
263,1,SpiceJet,71,SG-3002,1,Economy,144,13200
264,5,Indigo,138,6E-5063,1,Economy,26,13279
265,6,Air_India,131,AI-411,1,Economy,143,13515
266,5,Indigo,72,6E-2102,1,Economy,32,13767
267,3,Vistara,74,UK-637,1,Economy,145,14565
268,3,Vistara,75,UK-835,1,Economy,145,14565
269,3,Vistara,126,UK-833,1,Economy,145,14565
270,4,GO_FIRST,20,G8-266,1,Economy,146,14235
271,6,Air_India,58,AI-764,1,Economy,35,14250
272,3,Vistara,57,UK-899,1,Economy,147,14618
273,3,Vistara,32,UK-813,1,Economy,148,14775
274,5,Indigo,62,6E-2338,1,Economy,149,14744
275,3,Vistara,36,UK-815,1,Economy,101,15353
276,3,Vistara,61,UK-737,1,Economy,150,15405
277,6,Air_India,65,AI-762,1,Economy,151,15090
278,5,Indigo,139,6E-7403,1,Economy,103,15232
279,5,Indigo,116,6E-607,1,Economy,103,15232
280,3,Vistara,92,UK-953,1,Economy,40,15720
281,3,Vistara,45,UK-955,1,Economy,40,15720
282,6,Air_India,50,AI-429,1,Economy,150,15405
283,5,Indigo,97,6E-6722,1,Economy,40,15720
284,5,Indigo,109,6E-2154,1,Economy,40,15720
285,6,Air_India,49,AI-540,1,Economy,152,15825
286,6,Air_India,68,AI-537,1,Economy,152,15825
287,3,Vistara,140,UK-855,1,Economy,44,16665
288,3,Vistara,35,UK-801,1,Economy,153,16718
289,3,Vistara,61,UK-737,1,Economy,154,17190
290,4,GO_FIRST,82,G8-191,1,Economy,155,16859
291,3,Vistara,60,UK-809,1,Economy,156,17243
292,6,Air_India,110,AI-9843,1,Economy,50,17295
293,3,Vistara,32,UK-813,1,Economy,157,17978
294,3,Vistara,34,UK-819,1,Economy,52,18030
295,3,Vistara,88,UK-837,1,Economy,109,18135
296,6,Air_India,84,AI-401,1,Economy,109,18135
297,3,Vistara,35,UK-801,1,Economy,158,18713
298,3,Vistara,122,UK-706,1,Economy,57,19238
299,6,Air_India,141,AI-807,1,Economy,159,19605
300,6,Air_India,40,AI-502,1,Economy,159,19605
301,6,Air_India,40,AI-502,1,Economy,58,19920
302,3,Vistara,34,UK-819,1,Economy,160,21233
303,3,Vistara,130,UK-847,1,Economy,161,21285
304,4,GO_FIRST,86,G8-213,1,Economy,162,21899
305,6,Air_India,41,AI-506,1,Economy,163,22755
306,3,Vistara,34,UK-819,1,Economy,164,23228
307,6,Air_India,127,AI-406,1,Economy,165,22965
308,6,Air_India,41,AI-506,1,Economy,166,23070
309,4,GO_FIRST,142,G8-300,1,Economy,167,23491
310,6,Air_India,143,AI-811,1,Economy,168,24225
311,6,Air_India,144,AI-431,1,Economy,168,24225
312,6,Air_India,123,AI-465,1,Economy,169,24435
313,6,Air_India,128,AI-9809,1,Economy,170,25223
314,6,Air_India,58,AI-764,1,Economy,171,26325
315,6,Air_India,65,AI-762,1,Economy,172,27165
316,6,Air_India,67,AI-512,1,Economy,173,31260
317,1,SpiceJet,145,SG-1089,1,Economy,1,5953
318,1,SpiceJet,146,SG-1061,1,Economy,1,5953
319,1,SpiceJet,147,SG-1063,1,Economy,1,5953
320,3,Vistara,8,UK-951,1,Economy,3,5955
321,3,Vistara,25,UK-933,1,Economy,3,5955
322,5,Indigo,148,6E-2054,1,Economy,3,5955
323,1,SpiceJet,90,SG-8803,1,Economy,3,5955
324,6,Air_India,149,AI-678,1,Economy,3,5955
325,2,AirAsia,47,I5-784,1,Economy,6,5949
326,4,GO_FIRST,150,G8-1010,1,Economy,5,5954
327,4,GO_FIRST,82,G8-191,1,Economy,5,5954
328,4,GO_FIRST,63,G8-237,1,Economy,5,5954
329,4,GO_FIRST,120,G8-119,1,Economy,5,5954
330,1,SpiceJet,38,SG-2976,1,Economy,3,5955
331,5,Indigo,103,6E-2022,1,Economy,3,5955
332,5,Indigo,124,6E-5018,1,Economy,3,5955
333,5,Indigo,56,6E-369,1,Economy,3,5955
334,1,SpiceJet,118,SG-2277,1,Economy,3,5955
335,2,AirAsia,3,I5-764,1,Economy,174,6139
336,5,Indigo,13,6E-5001,1,Economy,7,6165
337,3,Vistara,5,UK-963,1,Economy,8,6690
338,5,Indigo,136,6E-2092,1,Economy,175,6443
339,4,GO_FIRST,9,G8-334,1,Economy,121,6532
340,5,Indigo,116,6E-607,1,Economy,176,6932
341,5,Indigo,53,6E-2193,1,Economy,125,7420
342,5,Indigo,55,6E-152,1,Economy,125,7420
343,6,Air_India,151,AI-435,1,Economy,177,8413
344,3,Vistara,74,UK-637,1,Economy,178,9000
345,3,Vistara,122,UK-706,1,Economy,178,9000
346,6,Air_India,48,AI-9643,1,Economy,179,8790
347,6,Air_India,152,AI-499,1,Economy,179,8790
348,4,GO_FIRST,119,G8-719,1,Economy,10,8869
349,5,Indigo,62,6E-2338,1,Economy,180,8885
350,6,Air_India,153,AI-9887,1,Economy,178,9000
351,6,Air_India,104,AI-469,1,Economy,178,9000
352,4,GO_FIRST,121,G8-717,1,Economy,181,9447
353,3,Vistara,57,UK-899,1,Economy,75,9840
354,3,Vistara,113,UK-859,1,Economy,75,9840
355,3,Vistara,64,UK-871,1,Economy,75,9840
356,6,Air_India,110,AI-9843,1,Economy,129,9525
357,5,Indigo,31,6E-2373,1,Economy,182,9788
358,6,Air_India,154,AI-483,1,Economy,183,9905
359,3,Vistara,74,UK-637,1,Economy,13,10575
360,3,Vistara,81,UK-879,1,Economy,13,10575
361,3,Vistara,122,UK-706,1,Economy,13,10575
362,6,Air_India,76,AI-531,1,Economy,11,10260
363,5,Indigo,54,6E-2168,1,Economy,184,10349
364,5,Indigo,70,6E-184,1,Economy,78,10523
365,4,GO_FIRST,66,G8-1404,1,Economy,185,10549
366,6,Air_India,85,AI-473,1,Economy,186,10680
367,3,Vistara,140,UK-855,1,Economy,187,11205
368,3,Vistara,46,UK-627,1,Economy,188,11573
369,3,Vistara,130,UK-847,1,Economy,189,11625
370,4,GO_FIRST,155,G8-357,1,Economy,190,11295
371,4,GO_FIRST,86,G8-213,1,Economy,191,11609
372,3,Vistara,79,UK-673,1,Economy,15,12150
373,6,Air_India,141,AI-807,1,Economy,15,12150
374,1,SpiceJet,44,SG-339,1,Economy,192,12228
375,5,Indigo,72,6E-2102,1,Economy,88,12302
376,6,Air_India,156,AI-451,1,Economy,193,12360
377,5,Indigo,135,6E-181,1,Economy,194,12518
378,3,Vistara,61,UK-737,1,Economy,24,12990
379,3,Vistara,75,UK-835,1,Economy,24,12990
380,3,Vistara,88,UK-837,1,Economy,24,12990
381,6,Air_India,68,AI-537,1,Economy,24,12990
382,4,GO_FIRST,129,G8-286,1,Economy,195,13043
383,3,Vistara,75,UK-835,1,Economy,28,13410
384,3,Vistara,88,UK-837,1,Economy,28,13410
385,3,Vistara,125,UK-839,1,Economy,28,13410
386,3,Vistara,126,UK-833,1,Economy,28,13410
387,3,Vistara,125,UK-839,1,Economy,145,14565
388,6,Air_India,117,AI-885,1,Economy,148,14775
389,6,Air_India,117,AI-885,1,Economy,196,15143
390,3,Vistara,77,UK-705,1,Economy,152,15825
391,6,Air_India,50,AI-429,1,Economy,40,15720
392,6,Air_India,157,AI-471,1,Economy,152,15825
393,6,Air_India,50,AI-429,1,Economy,152,15825
394,6,Air_India,51,AI-439,1,Economy,152,15825
395,3,Vistara,77,UK-705,1,Economy,44,16665
396,3,Vistara,59,UK-747,1,Economy,48,17505
397,4,GO_FIRST,129,G8-286,1,Economy,156,17243
398,3,Vistara,59,UK-747,1,Economy,197,18345
399,3,Vistara,78,UK-707,1,Economy,61,19815
400,3,Vistara,59,UK-747,1,Economy,60,20130
401,6,Air_India,123,AI-465,1,Economy,198,20025
402,6,Air_India,67,AI-512,1,Economy,198,20025
403,6,Air_India,49,AI-540,1,Economy,113,21180
404,6,Air_India,68,AI-537,1,Economy,113,21180
405,6,Air_India,127,AI-406,1,Economy,199,21390
406,6,Air_India,131,AI-411,1,Economy,65,24540
407,1,SpiceJet,158,SG-1091,1,Economy,1,5953
408,3,Vistara,159,UK-981,1,Economy,3,5955
409,3,Vistara,160,UK-975,1,Economy,3,5955
410,3,Vistara,161,UK-993,1,Economy,3,5955
411,3,Vistara,92,UK-953,1,Economy,3,5955
412,3,Vistara,162,UK-943,1,Economy,3,5955
413,3,Vistara,163,UK-941,1,Economy,3,5955
414,2,AirAsia,164,I5-721,1,Economy,6,5949
415,2,AirAsia,165,I5-773,1,Economy,6,5949
416,4,GO_FIRST,129,G8-286,1,Economy,5,5954
417,4,GO_FIRST,166,G8-199,1,Economy,5,5954
418,1,SpiceJet,167,SG-8339,1,Economy,3,5955
419,5,Indigo,135,6E-181,1,Economy,175,6443
420,5,Indigo,124,6E-5018,1,Economy,175,6443
421,5,Indigo,112,6E-282,1,Economy,200,6953
422,5,Indigo,70,6E-184,1,Economy,201,7163
423,5,Indigo,54,6E-2168,1,Economy,125,7420
424,6,Air_India,168,AI-481,1,Economy,202,7468
425,6,Air_India,151,AI-435,1,Economy,202,7468
426,5,Indigo,53,6E-2193,1,Economy,73,8396
427,4,GO_FIRST,63,G8-237,1,Economy,203,8892
428,6,Air_India,76,AI-531,1,Economy,204,9315
429,6,Air_India,110,AI-9843,1,Economy,205,9368
430,5,Indigo,72,6E-2102,1,Economy,206,9373
431,5,Indigo,55,6E-152,1,Economy,206,9373
432,3,Vistara,114,UK-829,1,Economy,75,9840
433,3,Vistara,46,UK-627,1,Economy,207,9893
434,6,Air_India,104,AI-469,1,Economy,208,9590
435,3,Vistara,57,UK-899,1,Economy,209,9945
436,5,Indigo,109,6E-2154,1,Economy,210,9998
437,1,SpiceJet,71,SG-3002,1,Economy,11,10260
438,6,Air_India,153,AI-9887,1,Economy,11,10260
439,3,Vistara,107,UK-683,1,Economy,211,10723
440,6,Air_India,89,AI-877,1,Economy,186,10680
441,4,GO_FIRST,129,G8-286,1,Economy,212,11259
442,4,GO_FIRST,150,G8-1010,1,Economy,190,11295
443,6,Air_India,169,AI-9939,1,Economy,188,11573
444,6,Air_India,108,AI-403,1,Economy,213,11773
445,3,Vistara,170,UK-811,1,Economy,15,12150
446,3,Vistara,171,UK-807,1,Economy,15,12150
447,3,Vistara,126,UK-833,1,Economy,24,12990
448,3,Vistara,125,UK-839,1,Economy,214,13095
449,3,Vistara,75,UK-835,1,Economy,214,13095
450,3,Vistara,126,UK-833,1,Economy,214,13095
451,3,Vistara,88,UK-837,1,Economy,214,13095
452,6,Air_India,83,AI-767,1,Economy,24,12990
453,6,Air_India,84,AI-401,1,Economy,24,12990
454,6,Air_India,156,AI-451,1,Economy,144,13200
455,5,Indigo,139,6E-7403,1,Economy,26,13279
456,3,Vistara,78,UK-707,1,Economy,215,13725
457,3,Vistara,61,UK-737,1,Economy,215,13725
458,6,Air_India,65,AI-762,1,Economy,28,13410
459,3,Vistara,130,UK-847,1,Economy,94,13830
460,6,Air_India,137,AI-9911,1,Economy,216,13506
461,6,Air_India,52,AI-9645,1,Economy,217,14031
462,6,Air_India,65,AI-762,1,Economy,218,14355
463,3,Vistara,59,UK-747,1,Economy,219,14880
464,6,Air_India,123,AI-465,1,Economy,38,14670
465,6,Air_India,172,AI-9915,1,Economy,37,14985
466,6,Air_India,127,AI-406,1,Economy,220,15615
467,6,Air_India,131,AI-411,1,Economy,48,17505
468,3,Vistara,77,UK-705,1,Economy,197,18345
469,6,Air_India,117,AI-885,1,Economy,221,19500
470,6,Air_India,50,AI-429,1,Economy,113,21180
471,6,Air_India,51,AI-439,1,Economy,113,21180
472,6,Air_India,117,AI-885,1,Economy,222,21443
473,6,Air_India,49,AI-540,1,Economy,163,22755
474,6,Air_India,68,AI-537,1,Economy,163,22755
475,6,Air_India,117,AI-885,1,Economy,223,24908
476,3,Vistara,159,UK-981,1,Economy,4,6060
477,5,Indigo,173,6E-2137,1,Economy,3,5955
478,4,GO_FIRST,30,G8-165,1,Economy,5,5954
479,4,GO_FIRST,119,G8-719,1,Economy,5,5954
480,5,Indigo,174,6E-2097,1,Economy,3,5955
481,1,SpiceJet,38,SG-2976,1,Economy,4,6060
482,1,SpiceJet,118,SG-2277,1,Economy,4,6060
483,5,Indigo,97,6E-6722,1,Economy,7,6165
484,5,Indigo,15,6E-549,1,Economy,9,6585
485,5,Indigo,70,6E-184,1,Economy,224,6638
486,5,Indigo,136,6E-2092,1,Economy,176,6932
487,5,Indigo,124,6E-5018,1,Economy,176,6932
488,5,Indigo,72,6E-2102,1,Economy,225,7908
489,4,GO_FIRST,121,G8-717,1,Economy,10,8869
490,2,AirAsia,47,I5-784,1,Economy,10,8869
491,5,Indigo,175,6E-926,1,Economy,180,8885
492,6,Air_India,76,AI-531,1,Economy,178,9000
493,6,Air_India,152,AI-499,1,Economy,129,9525
494,3,Vistara,81,UK-879,1,Economy,209,9945
495,3,Vistara,107,UK-683,1,Economy,226,10198
496,5,Indigo,31,6E-2373,1,Economy,227,10003
497,6,Air_India,48,AI-9643,1,Economy,228,10103
498,6,Air_India,169,AI-9939,1,Economy,229,10313
499,5,Indigo,62,6E-2338,1,Economy,14,10838
500,6,Air_India,176,AI-415,1,Economy,230,10921
501,4,GO_FIRST,66,G8-1404,1,Economy,231,11127
