flight_id,ticket_id,airline_name_id,flight_number_id
463,463,3,59
464,464,6,123
465,465,6,172
466,466,6,127
467,467,6,131
468,468,3,77
469,469,6,117
470,470,6,50
471,471,6,51
472,472,6,117
473,473,6,49
474,474,6,68
475,475,6,117
476,476,3,159
477,477,5,173
478,478,4,30
479,479,4,119
480,480,5,174
481,481,1,38
482,482,1,118
483,483,5,97
484,484,5,15
485,485,5,70
486,486,5,136
487,487,5,124
488,488,5,72
489,489,4,121
490,490,2,47
491,491,5,175
492,492,6,76
493,493,6,152
494,494,3,81
495,495,3,107
496,496,5,31
497,497,6,48
498,498,6,169
499,499,5,62
500,500,6,176
501,501,4,66
502,502,4,177
503,503,1,38
504,504,6,157
505,505,6,143
506,506,6,156
507,507,3,46
508,508,1,71
509,509,6,172
510,510,3,61
511,511,5,56
512,512,3,125
513,513,3,78
514,514,3,77
515,515,3,59
516,516,3,79
517,517,3,178
518,518,3,77
519,519,5,135
520,520,1,44
521,521,6,127
522,522,6,84
523,523,6,80
524,524,3,77
525,525,6,58
526,526,5,116
527,527,6,117
528,528,6,117
529,529,6,179
530,530,6,50
531,531,6,51
532,532,3,130
533,533,3,69
534,534,6,180
535,535,5,181
536,536,1,133
537,537,5,15
538,538,2,3
539,539,5,14
540,540,5,174
541,541,5,16
542,542,3,46
543,543,3,74
544,544,3,122
545,545,2,165
546,546,6,48
547,547,5,56
548,548,5,54
549,549,5,31
550,550,3,64
551,551,3,57
552,552,3,114
553,553,3,113
554,554,3,113
555,555,5,175
556,556,3,81
557,557,5,53
558,558,5,116
559,559,6,157
560,560,6,143
561,561,6,182
562,562,6,156
563,563,5,135
564,564,6,131
565,565,5,70
566,566,6,80
567,567,5,72
568,568,6,65
569,569,6,58
570,570,6,87
571,571,3,78
572,572,3,61
573,573,5,55
574,574,6,83
575,575,6,84
576,576,2,164
577,577,6,111
578,578,6,106
579,579,2,47
580,580,6,105
581,581,4,129
582,582,3,59
583,583,4,129
584,584,6,127
585,585,3,77
586,586,4,86
587,587,3,77
588,588,6,117
589,589,3,159
590,590,5,26
591,591,5,29
592,592,5,16
593,593,5,175
594,594,5,181
595,595,5,70
596,596,6,110
597,597,5,97
598,598,3,122
599,599,5,53
600,600,5,54
601,601,4,119
602,602,3,81
603,603,5,55
604,604,5,56
605,605,6,157
606,606,5,183
607,607,5,62
608,608,5,72
609,609,6,131
610,610,6,85
611,611,3,74
612,612,2,164
613,613,3,122
614,614,3,79
615,615,6,111
616,616,6,105
617,617,6,106
618,618,6,43
619,619,1,38
620,620,6,127
621,621,6,87
622,622,3,75
623,623,3,78
624,624,4,66
625,625,6,84
626,626,2,164
627,627,3,75
628,628,3,88
629,629,3,77
630,630,6,134
631,631,6,65
632,632,6,58
633,633,3,77
634,634,6,48
635,635,3,59
636,636,6,83
637,637,6,80
638,638,3,107
639,639,1,118
640,640,6,117
641,641,2,165
642,642,3,130
643,643,1,145
644,644,1,146
645,645,1,147
646,646,1,28
647,647,2,184
648,648,5,14
649,649,4,11
650,650,4,95
651,651,2,3
652,652,2,185
653,653,5,15
654,654,6,151
655,655,5,70
656,656,5,112
657,657,5,181
658,658,3,57
659,659,3,64
660,660,3,81
661,661,6,154
662,662,3,113
663,663,1,38
664,664,3,122
665,665,3,57
666,666,5,31
667,667,3,74
668,668,3,122
669,669,5,55
670,670,6,76
671,671,3,107
672,672,5,56
673,673,6,128
674,674,5,175
675,675,4,66
676,676,6,37
677,677,5,116
678,678,6,156
679,679,5,186
680,680,3,79
681,681,3,61
682,682,6,141
683,683,3,78
684,684,6,89
685,685,6,85
686,686,5,135
687,687,5,186
688,688,5,174
689,689,1,118
690,690,6,83
691,691,6,127
692,692,3,77
693,693,6,123
694,694,6,67
695,695,6,111
696,696,6,105
697,697,6,106
698,698,6,176
699,699,6,172
700,700,6,117
701,701,6,65
702,702,6,117
703,703,4,129
704,704,4,129
705,705,3,130
706,706,6,117
707,707,6,68
708,708,6,157
709,709,4,82
710,710,4,20
711,711,2,165
712,712,5,187
713,713,3,6
714,714,3,163
715,715,5,96
716,716,1,1
717,717,3,161
718,718,3,91
719,719,3,92
720,720,6,99
721,721,6,100
722,722,1,28
723,723,4,93
724,724,5,173
725,725,5,24
726,726,3,159
727,727,6,98
728,728,5,188
729,729,5,97
730,730,5,29
731,731,5,14
732,732,5,26
733,733,5,15
734,734,5,181
735,735,5,124
736,736,5,175
737,737,5,138
738,738,2,189
739,739,5,116
740,740,3,114
741,741,6,76
742,742,3,107
743,743,3,57
744,744,3,64
745,745,5,136
746,746,4,119
747,747,5,56
748,748,1,38
749,749,6,134
750,750,1,118
751,751,6,144
752,752,5,138
753,753,1,71
754,754,6,154
755,755,3,60
756,756,1,38
757,757,5,31
758,758,6,48
759,759,2,190
760,760,3,122
761,761,3,126
762,762,3,75
763,763,6,80
764,764,5,135
765,765,3,79
766,766,3,178
767,767,6,141
768,768,6,65
769,769,6,105
770,770,4,21
771,771,4,20
772,772,6,41
773,773,6,58
774,774,5,109
775,775,5,174
776,776,3,59
777,777,3,88
778,778,4,142
779,779,3,88
780,780,4,82
781,781,3,46
782,782,5,139
783,783,3,125
784,784,6,65
785,785,3,77
786,786,6,89
787,787,4,30
788,788,6,87
789,789,3,130
790,790,6,83
791,791,4,142
792,792,4,129
793,793,4,86
794,794,6,67
795,795,6,49
796,796,6,117
797,797,4,191
798,798,4,192
799,799,4,193
800,800,4,194
801,801,4,195
802,802,4,196
803,803,5,197
804,804,2,189
805,805,2,198
806,806,4,199
807,807,4,200
808,808,4,201
809,809,4,202
810,810,4,203
811,811,5,136
812,812,5,188
813,813,2,185
814,814,5,31
815,815,5,29
816,816,5,56
817,817,5,181
818,818,5,204
819,819,5,54
820,820,4,205
821,821,5,116
822,822,2,47
823,823,2,206
824,824,2,207
825,825,6,104
826,826,6,48
827,827,6,152
828,828,6,104
829,829,6,154
830,830,6,76
831,831,5,135
832,832,4,208
833,833,4,30
834,834,5,62
835,835,4,209
836,836,5,55
837,837,6,176
838,838,3,79
839,839,1,44
840,840,6,127
841,841,4,150
842,842,6,110
843,843,4,86
844,844,6,108
845,845,6,182
846,846,3,130
847,847,3,125
848,848,3,178
849,849,6,156
850,850,4,21
851,851,6,49
852,852,3,78
853,853,3,77
854,854,6,157
855,855,5,72
856,856,5,174
857,857,6,83
858,858,6,84
859,859,3,77
860,860,6,117
861,861,6,117
862,862,6,51
863,863,1,158
864,864,1,1
865,865,4,208
866,866,4,210
867,867,1,71
868,868,5,54
869,869,5,31
870,870,5,116
871,871,5,53
872,872,2,185
873,873,5,112
874,874,5,109
875,875,5,174
876,876,5,53
877,877,5,55
878,878,5,175
879,879,5,181
880,880,5,204
881,881,5,70
882,882,6,48
883,883,3,46
884,884,5,135
885,885,5,72
886,886,2,19
887,887,6,104
888,888,3,64
889,889,6,110
890,890,6,104
891,891,6,153
892,892,3,79
893,893,4,211
894,894,6,87
895,895,6,108
896,896,6,111
897,897,6,105
898,898,6,106
899,899,6,80
900,900,3,130
901,901,6,127
902,902,3,59
903,903,3,78
904,904,6,83
905,905,6,84
906,906,5,139
907,907,3,77
908,908,4,86
909,909,4,82
910,910,6,117
911,911,4,150
912,912,6,58
913,913,3,77
914,914,6,117
915,915,1,71
916,916,4,209
917,917,1,44
918,918,5,54
919,919,5,181
920,920,5,62
921,921,5,174
922,922,5,72
923,923,6,110
924,924,6,152
925,925,3,46
926,926,3,74
927,927,3,122
928,928,3,79
929,929,6,127
930,930,6,89
931,931,6,212
932,932,6,111
933,933,6,106
934,934,6,105
935,935,3,77
936,936,3,178
937,937,6,40
938,938,2,206
939,939,2,207
940,940,6,42
941,941,6,50
942,942,6,68
943,943,3,77
944,944,6,41
945,945,6,141
946,946,6,49
947,947,6,80
948,948,6,117
949,949,6,117
950,950,2,198
951,951,5,56
952,952,6,48
953,953,3,74
954,954,3,122
955,955,4,205
956,956,4,86
957,957,4,121
958,958,5,70
959,959,5,55
960,960,1,133
961,961,1,71
962,962,5,26
963,963,5,116
964,964,5,204
965,965,2,185
966,966,6,76
967,967,5,135
968,968,5,116
969,969,6,143
970,970,6,128
971,971,3,64
972,972,3,57
973,973,3,113
974,974,3,114
975,975,6,154
976,976,3,81
977,977,6,65
978,978,6,58
979,979,6,85
980,980,6,176
981,981,3,171
982,982,5,139
983,983,3,46
984,984,3,178
985,985,3,57
986,986,3,113
987,987,3,114
988,988,3,75
989,989,3,88
990,990,6,157
991,991,6,156
992,992,6,80
993,993,6,65
994,994,2,165
995,995,6,153
996,996,6,42
997,997,3,79
998,998,6,49
999,999,6,141
1000,1000,6,40
1001,1001,6,41
1002,1002,6,108
1003,1003,6,68
1004,1004,6,87
1005,1005,4,129
1006,1006,6,127
1007,1007,2,206
1008,1008,3,59
1009,1009,3,59
1010,1010,6,50
1011,1011,3,140
1012,1012,6,51
1013,1013,3,77
1014,1014,6,50
1015,1015,6,83
1016,1016,6,106
1017,1017,3,77
1018,1018,6,111
1019,1019,6,105
1020,1020,6,117
1021,1021,3,160
1022,1022,3,92
1023,1023,3,7
1024,1024,3,161
1025,1025,3,8
1026,1026,3,25
1027,1027,3,4
1028,1028,3,6
1029,1029,4,191
1030,1030,4,192
1031,1031,4,193
1032,1032,5,197
1033,1033,2,3
1034,1034,5,148
1035,1035,4,194
1036,1036,5,13
1037,1037,4,9
1038,1038,4,195
1039,1039,5,173
1040,1040,4,196
1041,1041,4,10
1042,1042,4,11
1043,1043,4,93
1044,1044,5,187
1045,1045,4,94
1046,1046,4,12
1047,1047,5,96
1048,1048,4,95
1049,1049,2,19
1050,1050,2,164
1051,1051,2,189
1052,1052,2,184
1053,1053,2,198
1054,1054,5,174
1055,1055,6,98
1056,1056,6,17
1057,1057,6,18
1058,1058,6,180
1059,1059,6,149
1060,1060,6,102
1061,1061,6,23
1062,1062,1,158
1063,1063,1,1
1064,1064,1,145
1065,1065,1,90
1066,1066,1,146
1067,1067,1,2
1068,1068,1,147
1069,1069,1,28
1070,1070,1,71
1071,1071,3,159
1072,1072,3,162
1073,1073,3,5
1074,1074,3,163
1075,1075,3,45
1076,1076,6,100
1077,1077,3,91
1078,1078,3,69
1079,1079,5,16
1080,1080,5,24
1081,1081,1,38
1082,1082,6,99
1083,1083,1,133
1084,1084,1,118
1085,1085,5,116
1086,1086,5,204
1087,1087,5,15
1088,1088,5,56
1089,1089,4,205
1090,1090,1,38
1091,1091,5,14
1092,1092,5,29
1093,1093,5,97
1094,1094,6,76
1095,1095,5,124
1096,1096,5,53
1097,1097,6,168
1098,1098,5,70
1099,1099,5,26
1100,1100,3,114
1101,1101,5,54
1102,1102,5,135
1103,1103,5,136
1104,1104,5,31
1105,1105,3,125
1106,1106,4,66
1107,1107,6,104
1108,1108,3,57
1109,1109,3,113
1110,1110,3,64
1111,1111,3,114
1112,1112,5,181
1113,1113,3,126
1114,1114,5,62
1115,1115,4,199
1116,1116,4,203
1117,1117,4,121
1118,1118,6,50
1119,1119,3,81
1120,1120,2,47
1121,1121,6,131
1122,1122,6,134
1123,1123,6,110
1124,1124,3,75
1125,1125,5,53
1126,1126,5,175
1127,1127,6,123
1128,1128,6,67
1129,1129,4,208
1130,1130,4,30
1131,1131,6,50
1132,1132,6,49
1133,1133,4,200
1134,1134,4,63
1135,1135,6,80
1136,1136,3,79
1137,1137,5,55
1138,1138,6,58
1139,1139,6,42
1140,1140,6,104
1141,1141,6,154
1142,1142,6,111
1143,1143,6,105
1144,1144,6,106
1145,1145,3,170
1146,1146,3,33
1147,1147,3,32
1148,1148,3,34
1149,1149,3,35
1150,1150,3,171
1151,1151,3,36
1152,1152,3,60
1153,1153,4,177
1154,1154,4,121
1155,1155,6,51
1156,1156,1,44
1157,1157,6,39
1158,1158,6,65
1159,1159,6,89
1160,1160,4,209
1161,1161,5,116
1162,1162,6,40
1163,1163,6,41
1164,1164,6,141
1165,1165,6,153
1166,1166,6,87
1167,1167,6,85
1168,1168,5,183
1169,1169,6,37
1170,1170,6,50
1171,1171,6,157
1172,1172,6,127
1173,1173,6,156
1174,1174,3,74
1175,1175,3,59
1176,1176,6,65
1177,1177,3,122
1178,1178,4,21
1179,1179,6,52
1180,1180,3,59
1181,1181,6,83
1182,1182,6,84
1183,1183,2,185
1184,1184,6,43
1185,1185,3,77
1186,1186,3,78
1187,1187,3,61
1188,1188,6,49
1189,1189,6,73
1190,1190,5,72
1191,1191,3,77
1192,1192,3,46
1193,1193,3,88
1194,1194,2,207
1195,1195,6,117
1196,1196,6,117
1197,1197,3,159
1198,1198,3,91
1199,1199,5,16
1200,1200,2,213
1201,1201,3,69
1202,1202,6,98
1203,1203,6,180
1204,1204,6,99
1205,1205,5,109
1206,1206,5,174
1207,1207,1,71
1208,1208,5,26
1209,1209,5,29
1210,1210,2,165
1211,1211,4,205
1212,1212,4,121
1213,1213,5,56
1214,1214,5,14
1215,1215,2,198
1216,1216,1,38
1217,1217,5,15
1218,1218,6,151
1219,1219,4,121
1220,1220,6,76
1221,1221,2,185
1222,1222,6,104
1223,1223,5,124
1224,1224,1,38
1225,1225,5,97
1226,1226,3,64
1227,1227,3,57
1228,1228,3,113
1229,1229,5,204
1230,1230,6,51
1231,1231,3,81
1232,1232,5,175
1233,1233,3,75
1234,1234,3,88
1235,1235,3,107
1236,1236,2,189
1237,1237,2,165
1238,1238,5,135
1239,1239,5,116
1240,1240,5,136
1241,1241,5,54
1242,1242,4,201
1243,1243,5,112
1244,1244,6,49
1245,1245,6,143
1246,1246,6,111
1247,1247,6,105
1248,1248,6,106
1249,1249,6,58
1250,1250,3,170
1251,1251,5,62
1252,1252,6,80
1253,1253,6,115
1254,1254,6,182
1255,1255,6,156
1256,1256,6,58
1257,1257,6,108
1258,1258,6,65
1259,1259,6,68
1260,1260,5,72
1261,1261,6,141
1262,1262,6,58
1263,1263,6,176
1264,1264,3,122
1265,1265,6,83
1266,1266,6,84
1267,1267,6,85
1268,1268,4,177
1269,1269,6,65
1270,1270,5,53
1271,1271,5,55
1272,1272,6,127
1273,1273,3,59
1274,1274,4,209
1275,1275,6,37
1276,1276,6,65
1277,1277,6,48
1278,1278,3,79
1279,1279,6,51
1280,1280,6,89
1281,1281,3,125
1282,1282,3,126
1283,1283,3,77
1284,1284,6,157
1285,1285,3,140
1286,1286,2,206
1287,1287,4,82
1288,1288,6,110
1289,1289,4,129
1290,1290,6,123
1291,1291,6,67
1292,1292,6,117
1293,1293,6,117
1294,1294,6,117
1295,1295,5,109
1296,1296,3,25
1297,1297,5,173
1298,1298,6,100
1299,1299,1,71
1300,1300,5,188
1301,1301,2,185
1302,1302,2,165
1303,1303,5,135
1304,1304,5,116
1305,1305,5,204
1306,1306,6,48
1307,1307,6,76
1308,1308,5,14
1309,1309,5,29
1310,1310,3,107
1311,1311,5,181
1312,1312,3,126
1313,1313,4,193
1314,1314,4,94
1315,1315,5,109
1316,1316,6,134
1317,1317,6,58
1318,1318,5,70
1319,1319,6,85
1320,1320,3,64
1321,1321,2,189
1322,1322,5,175
1323,1323,6,144
1324,1324,6,65
1325,1325,5,138
1326,1326,3,81
1327,1327,3,57
1328,1328,1,38
1329,1329,4,202
1330,1330,5,136
1331,1331,5,124
1332,1332,2,206
1333,1333,5,138
1334,1334,6,58
1335,1335,4,129
1336,1336,4,142
1337,1337,6,110
1338,1338,6,105
1339,1339,6,106
1340,1340,5,15
1341,1341,6,49
1342,1342,6,43
1343,1343,6,65
1344,1344,6,84
1345,1345,6,111
1346,1346,6,80
1347,1347,6,40
1348,1348,6,41
1349,1349,6,87
1350,1350,3,178
1351,1351,5,62
1352,1352,6,156
1353,1353,5,54
1354,1354,4,21
1355,1355,6,89
1356,1356,6,83
1357,1357,6,84
1358,1358,3,126
1359,1359,2,207
1360,1360,5,139
1361,1361,4,142
1362,1362,3,79
1363,1363,3,140
1364,1364,6,123
1365,1365,6,67
1366,1366,3,88
1367,1367,6,117
1368,1368,3,59
1369,1369,5,72
1370,1370,4,20
1371,1371,6,117
1372,1372,3,77
1373,1373,4,82
1374,1374,6,68
1375,1375,2,165
1376,1376,2,206
1377,1377,5,15
1378,1378,5,97
1379,1379,2,185
1380,1380,2,207
1381,1381,1,38
1382,1382,6,106
1383,1383,1,118
1384,1384,6,49
1385,1385,6,51
1386,1386,5,136
1387,1387,5,175
1388,1388,6,68
1389,1389,6,50
1390,1390,5,135
1391,1391,6,80
1392,1392,6,111
1393,1393,6,105
1394,1394,6,110
1395,1395,5,53
1396,1396,3,126
1397,1397,5,70
1398,1398,6,51
1399,1399,6,49
1400,1400,3,79
1401,1401,3,81
1402,1402,5,53
1403,1403,5,55
1404,1404,6,89
1405,1405,6,179
1406,1406,5,62
1407,1407,6,85
1408,1408,6,41
1409,1409,6,39
1410,1410,6,176
1411,1411,4,209
1412,1412,6,40
1413,1413,6,141
1414,1414,6,65
1415,1415,6,182
1416,1416,6,115
1417,1417,6,106
1418,1418,6,48
1419,1419,6,127
1420,1420,6,83
1421,1421,6,111
1422,1422,6,105
1423,1423,6,108
1424,1424,3,77
1425,1425,3,178
1426,1426,3,61
1427,1427,3,77
1428,1428,3,178
1429,1429,3,59
1430,1430,3,77
1431,1431,4,129
1432,1432,1,44
1433,1433,3,78
1434,1434,5,72
1435,1435,6,117
1436,1436,4,129
1437,1437,6,117
1438,1438,3,46
1439,1439,6,157
1440,1440,3,140
1441,1441,3,159
1442,1442,5,214
1443,1443,2,185
1444,1444,5,215
1445,1445,5,109
1446,1446,6,99
1447,1447,5,70
1448,1448,5,14
1449,1449,1,44
1450,1450,5,216
1451,1451,6,48
1452,1452,6,68
1453,1453,6,50
1454,1454,5,54
1455,1455,5,53
1456,1456,6,49
1457,1457,6,68
1458,1458,5,181
1459,1459,5,55
1460,1460,6,104
1461,1461,5,109
1462,1462,3,79
1463,1463,5,112
1464,1464,6,50
1465,1465,6,110
1466,1466,2,19
1467,1467,2,206
1468,1468,6,105
1469,1469,6,106
1470,1470,6,127
1471,1471,3,125
1472,1472,3,75
1473,1473,3,88
1474,1474,6,217
1475,1475,6,89
1476,1476,6,111
1477,1477,4,200
1478,1478,4,63
1479,1479,6,218
1480,1480,6,87
1481,1481,3,140
1482,1482,3,46
1483,1483,6,153
1484,1484,6,108
1485,1485,6,219
1486,1486,6,67
1487,1487,6,105
1488,1488,2,207
1489,1489,3,77
1490,1490,4,177
1491,1491,4,209
1492,1492,3,77
1493,1493,3,61
1494,1494,3,178
1495,1495,5,139
1496,1496,5,72
1497,1497,3,78
1498,1498,3,77
1499,1499,6,50
1500,1500,6,220
1501,1501,3,74
1502,1502,3,122
1503,1503,4,129
1504,1504,6,157
1505,1505,6,117
1506,1506,6,117
1507,1507,6,100
1508,1508,5,216
1509,1509,5,204
1510,1510,1,221
1511,1511,5,62
1512,1512,5,139
1513,1513,6,152
1514,1514,5,26
1515,1515,6,110
1516,1516,6,212
1517,1517,6,105
1518,1518,6,153
1519,1519,6,51
1520,1520,6,50
1521,1521,5,116
1522,1522,5,53
1523,1523,5,55
1524,1524,4,66
1525,1525,6,143
1526,1526,5,135
1527,1527,6,131
1528,1528,6,40
1529,1529,6,41
1530,1530,3,46
1531,1531,6,105
1532,1532,3,61
1533,1533,2,206
1534,1534,6,157
1535,1535,5,72
1536,1536,3,140
1537,1537,2,207
1538,1538,6,222
1539,1539,3,78
1540,1540,4,129
1541,1541,6,117
1542,1542,6,117
1543,1543,2,47
1544,1544,5,112
1545,1545,5,116
1546,1546,5,116
1547,1547,6,217
1548,1548,5,139
1549,1549,1,38
1550,1550,5,26
1551,1551,5,55
1552,1552,5,72
1553,1553,6,49
1554,1554,3,46
1555,1555,6,68
1556,1556,6,50
1557,1557,6,51
1558,1558,6,58
1559,1559,6,89
1560,1560,6,65
1561,1561,2,207
1562,1562,6,218
1563,1563,6,84
1564,1564,6,157
1565,1565,6,108
1566,1566,6,83
1567,1567,3,78
1568,1568,3,59
1569,1569,6,117
1570,1570,4,129
1571,1571,6,117
1572,1572,6,153
1573,1573,6,110
1574,1574,5,97
1575,1575,5,135
1576,1576,5,116
1577,1577,6,153
1578,1578,2,47
1579,1579,6,80
1580,1580,6,111
1581,1581,5,70
1582,1582,5,181
1583,1583,5,72
1584,1584,6,80
1585,1585,6,168
1586,1586,6,49
1587,1587,5,62
1588,1588,3,46
1589,1589,6,111
1590,1590,6,76
1591,1591,6,157
1592,1592,6,127
1593,1593,6,51
1594,1594,6,89
